year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2022,3EV INDUSTRIES PVT LTD,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,390
2022,3S INDUSTRIES,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,68
2022,A1 HEAVY EQUIPMENTS DEVELOPER,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,13
2022,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2022,AADHYA ENTERPRISES,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,517
2022,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2022,AAHANA COMMERCE PVT LTD,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,309
2022,AAKK AUTO PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2022,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,41
2022,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2022,ABZO MOTORS PVT LTD,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15
2022,ACCRETION POWER AUTOS,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,608
2022,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,0,0,0,0,28,408,0,202,"1,959",0,5,"2,672",0,"2,383","7,657"
2022,A D AGRO WORKS,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,119,125
2022,ADAPT MOTORS PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2022,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,0,0,0,0,0,0,0,56,"1,681",0,0,1,0,0,"1,738"
2022,ADIDEV TECHNOA PVT LTD,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,168
2022,ADISHAKTI TRACTORS,0,0,0,0,0,0,0,0,0,22,305,0,0,0,0,0,327
2022,ADISHWAR AUTO RIDE INDIA PVT LTD,0,"1,349",2,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,351"
2022,ADITYA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,3,41
2022,ADITYA SAI INDUSTRIES,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129
2022,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129
2022,ADRIS ELECTRIC PVT LTD,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
2022,AFTEK MOTORS INDIA PVT LTD,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
2022,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,35
2022,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,54
2022,AGRO INDUSTRIES,0,0,0,0,0,0,0,1,0,111,109,0,0,0,0,39,260
2022,AGRO TRAILERS AP312870751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2022,AHMED MOTORS,0,18,0,0,0,0,0,0,0,71,16,0,0,0,0,0,105
2022,AJANTA KRUSHI YANTRA,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,71
2022,AJAX FIORI ENGINEERING  PVT LTD,0,0,0,0,0,0,1,115,0,5,137,0,8,189,0,"1,396","1,851"
2022,AJAX FIORI ENGINEERING PVT LTD,0,0,0,0,0,0,0,2,0,3,8,0,0,1,0,9,23
2022,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,1,11
2022,AJAY ENTERPRISES,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,10
2022,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,34
2022,A.J ENTERPRISES,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,45
2022,AJIT ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
